,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
7283,glorious-star-560,finished,59,ReLU,casual,0.980292415,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,4t6nr5angs,2,1,1,0.985650245,65.83053211,65.904178,0,0.110657617,0.111183603,20.01438213,0.017192006,0.023171576,0.367456883,1.839743531,0.387374461,1.848058879,0.566481804,0.687664841
7284,fragrant-blaze-559,finished,59,ReLU,casual,0.31582713,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,oj6jhs33qw,2,1,1,0.239505375,62.87861899,62.87861899,0,0.224865991,0.22495359,18.40378821,0.21981542,0.217961216,1,5.21E-08,0.998565257,0.001712229,0.998170682,0.976099691
7285,trim-forest-558,finished,59,ReLU,casual,0.586358326,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,k8cvu5k2o4,2,1,1,0.975047752,103.2090663,103.2090663,0,0.049990569,0.048659226,19.12675247,0.034250727,0.034381953,1,0.042686457,1,0.044945129,0.692208582,0.977588045
7286,spring-field-557,finished,59,ReLU,casual,0.998187366,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,rjqfee3gpm,2,1,1,0.946633295,292.9674333,292.9681105,0,0.060430068,0.050937022,15.58403714,0.045665348,0.037403431,1,2.69E-08,1,1.76E-07,0.945467937,0.493615869
7287,laced-brook-556,finished,59,ReLU,casual,0.858038392,3481,128,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rzryxx6lbb,2,1,1,0.70412624,152.3267627,152.4090937,0,0.133876048,0.135165741,27.47408783,0.100200385,0.100591932,1,1.86E-07,1,2.05E-05,0.320578409,0.509998694
7288,twilight-totem-555,finished,59,ReLU,casual,0.65314201,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,lr8cjrh1fa,2,1,1,0.533460479,39.47277167,39.47277167,0,0.13641648,0.141254161,25.73203153,0.117239618,0.119370245,1,1.58E-07,1,4.78E-07,0.929229532,0.959937558
7289,vivid-rain-554,finished,59,ReLU,casual,0.38725882,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,ik1ekiowsj,2,1,1,0.937457819,57.32011737,57.32011737,0,0.087197292,0.089315543,17.36785493,0.065114016,0.07342077,1,3.15E-08,1,4.93E-08,0.957415779,0.886124009
7290,honest-violet-553,finished,59,ReLU,casual,0.827267051,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,h9w9elqp35,2,1,1,0.816977275,82.02188355,82.02326673,0,0.120038282,0.110285782,19.15880976,0.094007322,0.098001632,1,5.23E-08,1,8.82E-08,0.914820045,0.938796919
7291,scarlet-plant-552,finished,59,ReLU,casual,0.328399461,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,xuzrxa7226,2,1,1,0.817741006,42.63803514,42.66552003,0,0.106991295,0.09635243,24.63946417,0.084298053,0.084006869,1,1.53E-07,1,6.05E-07,0.989984656,0.995081841
7292,super-music-551,finished,59,ReLU,casual,0.285032882,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,m9mhn4p6ci,2,1,1,0.507154576,34.1374593,34.1374593,0,0.143752123,0.143471884,24.20264598,0.125537315,0.12337316,1,1.44E-07,1,2.73E-07,0.989648877,0.997351828
7293,bright-smoke-550,finished,59,ReLU,casual,0.42530851,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,snq1zh4uvb,2,1,1,0.232742579,36.41477022,36.45219302,0,0.183835143,0.183749329,24.7520018,0.179520111,0.178451807,1,1.51E-07,1,2.36E-07,0.99377762,0.999071091
7294,vibrant-morning-549,finished,59,ReLU,casual,0.148248815,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,mm9g9bwjmw,2,1,1,0.184358461,52.06518244,52.09548318,0,0.195757783,0.195840969,23.39025265,0.193145255,0.192766682,1,1.35E-07,1,2.06E-07,0.994196466,0.996804289
7295,revived-jazz-548,finished,59,ReLU,casual,0.623377412,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,y781liv8n8,2,1,1,0.926827478,68.15866849,68.20689601,0,0.114398937,0.115829462,23.99661247,0.048649785,0.052404672,1,0.001721396,1,0.00245418,0.762799489,0.981527545
7296,charmed-fog-547,finished,59,ReLU,casual,0.477067696,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,q7urcbmy2m,2,1,1,0.59360401,48.5691101,48.59606881,0,0.137425938,0.139732567,24.68126696,0.120549729,0.122208995,1,1.53E-07,1,3.15E-07,0.991084248,0.887394673
