,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
1810,likely-moon-4338,finished,59,ReLU,casual,0.787885536,3481,100,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,bcv9akcudo,2,1,1,0.741208512,84.07146981,84.07146981,0,0.135001977,0.135111685,22.55372441,0.110979081,0.110060401,1,0.04447422,1,0.050225888,0.364956714,0.944440187
1811,stellar-plasma-4337,finished,59,ReLU,casual,0.525356255,3481,85,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,7y847c5s8z,2,1,1,0.19368499,59.15170189,59.22203051,0,0.203918162,0.20318639,13.71832387,0.201907112,0.20204253,1,1.94E-08,1,2.75E-08,0.996603205,0.99130432
1812,comfy-aardvark-4336,finished,59,ReLU,casual,0.251064437,3481,105,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,algehuvkh6,2,1,1,0.2096321,37.48345063,37.55056709,0,0.183428379,0.184772325,24.17838854,0.180001588,0.179945153,1,1.52E-07,1,2.51E-07,0.993768865,0.998806295
1813,iconic-shadow-4335,finished,59,ReLU,casual,0.609795337,3481,313,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,2yzj6p9dvl,2,1,1,0.32734536,58.05589301,58.06656992,0,0.185071295,0.18468724,38.30872712,0.178146071,0.179368418,1,0.000278454,0.998565257,0.00729718,0.998784854,0.765378996
1814,dandy-fog-4334,finished,59,ReLU,casual,0.383349222,3481,56,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,8eirtczgrw,2,0.997130573,1,0.992639155,131.401791,74.15183214,0.002869427,0.049612582,0.043346523,29.02548318,0.018231971,0.017231503,1,0.010029678,0.992826402,0.466536084,0.904953144,0.44616772
1815,radiant-fire-4333,finished,59,ReLU,casual,0.242321855,3481,108,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,l34y15njee,2,1,1,0.208494723,58.95000098,58.95420413,0,0.188216416,0.187755597,23.36896772,0.184768186,0.184711641,1,1.38E-07,1,2.20E-07,0.992959349,0.977396615
1816,bright-rain-4332,finished,59,ReLU,casual,0.525114625,3481,45,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,g3l8566jpc,2,1,1,0.989020644,46.25158185,46.26189544,0,0.041128369,0.039639959,22.38286313,0.030956669,0.033215325,1,0.003744566,0.995695829,0.018415925,0.959081727,0.489957513
1817,azure-field-4331,finished,59,ReLU,casual,0.140100174,3481,102,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,v6fi66vu8v,2,1,1,0.322239319,58.47813716,58.50337206,0,0.197166966,0.197408169,17.09470375,0.188122267,0.191006535,1,4.49E-08,1,0.002344428,0.998461764,0.738890371
1818,confused-silence-4330,finished,59,ReLU,casual,0.639024025,3481,339,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,skcftfnfs8,2,1,1,0.527207363,80.77301589,80.77301589,0,0.1891937,0.179314278,34.36140744,0.166239836,0.162901201,0.328304589,2.855986455,0.276901007,3.21344596,0.978976651,0.947769621
1819,apricot-planet-4329,finished,59,ReLU,casual,0.866820384,3481,235,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,62hkqv2vzi,2,1,1,0.613015127,271.591454,271.591454,0,0.150887908,0.147839012,29.39482806,0.136082999,0.139175785,1,0.000846975,1,0.001179398,0.511711809,0.477457394
1820,stellar-aardvark-4328,finished,59,ReLU,casual,0.585121161,3481,231,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,qcwmy5jb68,2,1,1,0.691684605,177.371601,177.371601,0,0.155632506,0.155905181,27.01107849,0.117517913,0.118821843,1,1.57E-07,1,5.18E-07,0.982659406,0.491880232
